Date,Open,High,Low,Close,Adj Close,Volume,Trend
8/2/2018,250.00,258.45,248.75,256.00,256.0000,875,FALSE
8/3/2018,262.55,293.70,261.95,266.30,266.3000,20617,TRUE
8/6/2018,271.40,271.45,256.10,259.95,259.9500,4153,TRUE
8/7/2018,259.00,273.15,257.50,266.85,266.8500,3347,FALSE
8/8/2018,265.55,271.00,261.00,261.60,261.6000,2114,TRUE
8/9/2018,257.30,273.00,257.30,266.75,266.7500,1907,FALSE
8/10/2018,269.95,270.80,262.00,262.05,262.0500,730,TRUE
8/13/2018,260.00,268.90,250.50,256.90,256.9000,506,FALSE
8/14/2018,255.30,265.25,229.00,251.50,251.5000,3567,FALSE
8/16/2018,248.00,256.90,231.00,250.20,250.2000,881,FALSE
8/17/2018,248.00,256.80,241.55,243.25,243.2500,1650,FALSE
8/20/2018,250.00,253.75,247.30,249.15,249.1500,2306,TRUE
8/21/2018,252.95,257.50,250.00,250.75,250.7500,1443,TRUE
8/23/2018,256.95,256.95,242.10,243.75,243.7500,5227,TRUE
8/24/2018,249.95,249.95,238.10,241.10,241.1000,2415,FALSE
8/27/2018,244.05,247.25,239.00,240.55,240.5500,1377,FALSE
8/28/2018,246.80,246.80,227.05,237.40,237.4000,4047,TRUE
8/29/2018,239.85,247.00,237.45,242.65,242.6500,1935,FALSE
8/30/2018,237.15,245.10,236.00,242.10,242.1000,1521,FALSE
8/31/2018,288.00,288.00,247.60,248.90,248.9000,79817,TRUE
9/3/2018,252.65,252.65,240.35,242.65,242.6500,5609,FALSE
9/4/2018,241.00,246.40,229.10,244.25,244.2500,3789,FALSE
9/5/2018,244.25,244.25,239.10,240.45,240.4500,1090,TRUE
9/6/2018,240.05,247.00,239.00,243.75,243.7500,3465,FALSE
9/7/2018,238.05,244.85,232.20,236.95,236.9500,3892,FALSE
9/10/2018,237.00,245.10,237.00,238.85,238.8500,3079,FALSE
9/11/2018,240.00,241.75,231.55,235.40,235.4000,2825,TRUE
9/12/2018,235.00,239.00,228.00,230.85,230.8500,3844,FALSE
9/14/2018,234.90,239.40,232.00,237.85,237.8500,2838,FALSE
9/17/2018,232.00,237.00,230.20,234.35,234.3500,1481,FALSE
9/18/2018,238.75,242.70,230.75,233.55,233.5500,773,TRUE
9/19/2018,232.00,235.00,228.05,229.80,229.8000,987,FALSE
9/21/2018,236.65,236.65,216.40,220.65,220.6500,3203,TRUE
9/24/2018,219.60,235.00,217.10,224.90,224.9000,4575,FALSE
9/25/2018,226.70,226.70,216.30,220.25,220.2500,1792,TRUE
9/26/2018,222.90,232.00,219.65,231.60,231.6000,2668,FALSE
9/27/2018,238.00,239.30,221.85,223.80,223.8000,3134,TRUE
9/28/2018,223.85,227.70,218.05,221.00,221.0000,5487,FALSE
10/1/2018,241.00,241.00,216.00,217.85,217.8500,2760,TRUE
10/3/2018,214.45,224.00,210.15,220.35,220.3500,942,FALSE
10/4/2018,216.00,221.00,204.00,206.10,206.1000,3637,TRUE
10/5/2018,206.00,210.90,204.00,207.05,207.0500,1251,FALSE
10/8/2018,203.00,205.00,195.05,203.55,203.5500,3149,FALSE
10/9/2018,205.00,209.45,202.00,204.65,204.6500,920,TRUE
10/10/2018,210.00,220.00,206.05,217.20,217.2000,1947,TRUE
10/11/2018,217.20,223.00,207.35,212.05,212.0500,2325,TRUE
10/12/2018,215.00,224.00,213.30,216.65,216.6500,1890,FALSE
