Date,Open,High,Low,Adj Close,Volume,Trend
8/21/2018,1788.050049,1801.699951,1787,1793.550049,67,FALSE
8/23/2018,1786.75,1797,1760,1771.300049,343,FALSE
8/24/2018,1771.5,1779.300049,1738.5,1743.400024,444,FALSE
8/27/2018,1751,1790,1745,1750.199951,1396,FALSE
8/28/2018,1765.900024,1766,1741.5,1759.949951,293,TRUE
8/29/2018,1800,1821,1717,1740,2908,TRUE
8/30/2018,1739.050049,1770.699951,1732,1751.75,443,FALSE
8/31/2018,1742.199951,1831.599976,1742.199951,1759.900024,1749,TRUE
9/3/2018,1825,1825,1732.449951,1753.349976,1177,TRUE
9/4/2018,1766.949951,1786,1732.599976,1753.599976,503,FALSE
9/5/2018,1775,1777.550049,1742,1759.400024,3716,TRUE
9/6/2018,1742.5,1787.050049,1742.150024,1765.300049,649,FALSE
9/7/2018,1777.599976,1777.599976,1749.949951,1752.300049,2017,TRUE
9/10/2018,1764.75,1764.849976,1750.099976,1752.900024,262,FALSE
9/11/2018,1741.75,1751.900024,1715,1729.650024,2024,FALSE
9/12/2018,1725.650024,1752.5,1725.650024,1736.25,404,FALSE
9/14/2018,1740,1763,1738,1745.449951,448,TRUE
9/17/2018,1745,1755,1729.75,1747.550049,4839,TRUE
9/18/2018,1744,1753,1728.199951,1740.099976,95,FALSE
9/19/2018,1740,1787.949951,1740,1763.849976,386,FALSE
9/21/2018,1764,1787.349976,1705.099976,1723.150024,758,TRUE
9/24/2018,1727.650024,1758.550049,1702,1739.550049,490,FALSE
9/25/2018,1751.599976,1763.949951,1718.599976,1744.150024,4920,TRUE
9/26/2018,1734.550049,1781.800049,1734.550049,1745.5,553,FALSE
9/27/2018,1745,1759.599976,1740,1751.150024,6539,TRUE
9/28/2018,1755.400024,1784.949951,1725,1766.550049,1029,TRUE
10/1/2018,1727.599976,1750,1702,1710.400024,760,FALSE
10/3/2018,1700.050049,1705,1691,1699.900024,113,FALSE
10/4/2018,1692.800049,1692.800049,1602.599976,1647.650024,600,FALSE
10/5/2018,1628,1637,1603,1622.25,726,FALSE
10/8/2018,1622.25,1627.199951,1601.300049,1607.150024,570,FALSE
10/9/2018,1614.300049,1619.75,1600,1605.650024,238,FALSE
10/10/2018,1615.050049,1648,1605.650024,1619.400024,257,TRUE
10/11/2018,1600.050049,1647.949951,1600,1618.599976,14602,FALSE
10/12/2018,1649.400024,1677,1615.199951,1632.900024,707,TRUE
